word,definition,context,etymology,pronunciation,date
repudiate,"to deny, refuse",the idiot,,,2024-08-22
denouement,used in literature to refer to the final resolution or outcome of a narrative,the idiot,,,2024-08-22
enmity,feeling or state of active hostility or antagonism,the idiot,,,2024-08-22
admonish,to warn or reprimand someone firmly,the idiot,,,2024-08-22
les extremites se touchant,when extremes meet,the idiot,,,2024-08-22
revulsion,strong feeling of disgust or intense distaste,the idiot,,,2024-08-22
abase,lower or degrade,the idiot,,,2024-08-22
belfry,structure that houses bells,the idiot,,,2024-08-22
indignant,feeling or showing anger or annoyance at what is perceived as unfair treatment: he was indignant at being the object of suspicion.,the idiot,,,2024-08-22
torrid,"hot, passionate",the idiot,,,2024-08-22
apblomb,"self confidance, poise or assurance, esp in a demanding or challenging situation",the idiot,,,2024-08-22
risque,"slightly indecent and liable to shock, especially by being sexually suggestive",the idiot,,,2024-08-22
Aglaos,"Ἀγλαός, splendid, bright, shining",the idiot,,,2024-08-22
supercilious,attitude of arrogant superiority,the idiot,,,2024-08-22
didactically,"intended to teach something, particularly in having moral instruction as a motive",the idiot,,,2024-08-22
patronizing,apparently kind or helpful but betraying a feeling of superiority; condescending,we both occasionally experienced patronizing attitudes from staff | he smiled in a rather patronizing manner.,,,2024-08-22
contrecarre,"to oppose directly, to thwart",the idiot,,,2024-08-22
importunate,"someone who is persistant, sometimes annoying in their demands",the idiot,,,2024-08-22
solemnity,the state or quality of being serious and dignified,his ashes were laid to rest with great solemnity.,,,2024-08-22
chivalry,"the medieval knightly system with its religious, moral, and social code.",the idiot,,,2024-08-22
sniveling,cry and sniff in a feeble or fretful wa,"Kate started to snivel, looking sad and stunned.",,,2024-08-22
pernicious,"having a harmful effect, especially in a gradual or subtle way",the pernicious effects of air pollution | he is one of the most pernicious influences in the party | this whole line of thinking is pernicious.,,,2024-08-22
supplication,the action of asking or begging for something earnestly or humbly,he fell to his knees in supplication.,,,2024-08-22
bosom,"a woman's chest, (the bosom of) literary the loving care and protection of:",Bruno went home each night to the bosom of his family.,,,2024-08-22
beseech,ask (someone) urgently and fervently to do something; implore; entreat,they beseeched him to stay,,,2024-08-22
garroulous,"excessively talkative, especially on trivial matters","Polonius is portrayed as a foolish, garrulous old man.",,,2024-08-22
calamity,an event causing great and often sudden damage or distress; a disaster,the fire was the latest calamity to strike the area.,,,2024-08-22
